PRODUCT NAME, PRICE
HIGHLAND Full Cream UHT Milk 450ml,Rs.50.00
CARABAO Energy Drink 250ml,Rs.100.00
ANCHOR Pediapro Mama 400g Pkt,Rs.300.00
TANG ORANGE 500g Pkt,
SUNQUICK ORANGE 840ml,Rs.575.00
SUNQUICK ORANGE 330ml,Rs.790.00
SUNQUICK MANDERINE 330ml,Rs.490.00
SUNQUICK FRUIT COCKTAIL 840ml,Rs.390.00
"PERRIER MINERAL WATER, 330ml",Rs.790.00
NESCAFE GOLD 100g JAR,Rs.295.00
NESCAFE CLASSIC 200g JAR,"Rs.3,100.00"
MLESNA SENCHA GREEN TEA CAR/200g,"Rs.2,990.00"
MLESNA LOOLE/TEA CADDIES 500g,Rs.430.00
MLESNA GREEN TEA CARTON 100g,"Rs.1,300.00"
MLESNA GREEN T/BAGS CART 100g,Rs.440.00
MLESNA GREEN GOLD TEA BAG 100g,Rs.380.00
MLESNA ENGLISH BR/TEA BAGS 100g,Rs.280.00
MLESNA EN/ BREAKFAST/BAGS 50g,Rs.260.00
MLESNA ELE/ PU/CEYLON T/BAGS 100g,Rs.250.00
MLESNA CEYLON GOLD TEA BAGS 200g,Rs.430.00
MLESNA CEYLON GOLD T/BAGS 100g,Rs.450.00
MD MIXED FRUIT CORDIAL 750ml,Rs.360.00
KOTMALE Fresh Milk 170ml (Chocolate),Rs.550.00
KIST ORANGE NECTAR 1L,
ISLAND COFFEE VANILA 100g,Rs.400.00
ISLAND COFFEE VANILA 200g,Rs.380.00
ISLAND COFFEE GINGER 100g,Rs.730.00
ISLAND COFFEE CARDAMON 50g,Rs.380.00
ISLAND COFFEE CARDAMON 100g,Rs.240.00
ISLAND COFFEE 100g,Rs.470.00
FONTANA ORANGE JUICE 1L,Rs.350.00
FONTANA GRAPE JUICE 1L,"Rs.1,250.00"
DILMAH PREMIUM LEAF TEA 200g,"Rs.1,250.00"
DILMAH PREMIUM LEAF TEA 100g,Rs.460.00
COLMANS ORANGE SACHET140g,Rs.195.00
COCA COLA CAN 330ml,Rs.220.00
MALIBAN M/POWDER WELFARE PACK 1kg,Rs.220.00
MD MIXED FRUIT CORDIAL 400ml,"Rs.2,545.00"
NESTOMALT 400g TIN,Rs.520.00
NESTOMALT 175g PKT,Rs.990.00
MALIBAN M/POWDER 400g,Rs.420.00
BONLAC M/POWDER 700g N/FAT,Rs.380.00
NESCAFE CLASSIC 100g JAR,Rs.780.00
